SName,Lyric,Artist,Songs,Popularity,Genre,Genres
Despejo Na Favela,"Quando o oficial de justiça chegou. La na favela. E contra seu desejo entregou pra seu narciso um aviso pra uma ordem de despejo. Assinada seu doutor , assim dizia a petição dentro de dez dias quero a favela vazia e os. barracos todos no chão. É uma ordem superior,. Ôôôôôôôô Ô meu senhor, é uma ordem superior { 2x. Não tem nada não seu doutor, não tem nada não. Amanhã mesmo vou deixar meu barracão. Não tem nada não seu doutor vou sair daqui pra não ouvir o ronco do trator. Pra mim não tem problema em qualquer canto me arrumo de qualquer jeito me ajeito. Depois o que eu tenho é tão pouco minha mudança é tão pequena que cabe no bolso de trás. Mas essa gente ai hein como é que faz???? {2x",Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
Deus Te Abençoe,"Vai meu filho. Deus te abençoe. Segue o teu trilho. É o que a minha mãe sempre diz. Todas as manhãs. Quando eu vou pra trabalhar. Eu saio de manhazinha. Volto a noitinha. No aconchego do meu lar. Eu trabalho de pedreiro. Ganho por milheiro. Sou meia colher. Faço todo o sacrifício. Pra minha mãe sempre ter Tudo o que quiser. Falado ""benção filho,. Deus te abençoe filho. Não vai esquecer a marmita, viu!""",Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
Envelhecer É Uma Arte,"VELHO AMIGO NÃO CHORE. PRA QUE CHORAR. POR ALGUÉM TE CHAMAR DE VELHO. NÃO DECOLA, NÃO ESQUENTE A CACHOLA. QUANDO ALGUÉM LHE CHAMAR DE VELHO. SORRIA CANTANDO ASSIM:. SOU VELHO E SOU FELIZ. MAS VELHO É QUEM ME DIZ. COMIGO TAMBÉM ACONTECE. GENTE QUE NEM ME CONHECE. GENTE QUE NUNCA ME VIU. QUANDO PASSA POR MIM:. - ALÔ VELHO! ALÔ TIO!. EU NÃO PERCO A ESTRIBEIRA. LEVO NA BRINCADEIRA. SABER ENVELHECER É UMA ARTE. ISSO EU SEI, MODÉSTIA À PARTE",Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
Lagartixa,"A lagartixa. Sobe nas paredes. E fica olhando. Analisando sem parar. Depois anda. Mais um pouco. E quando cansa. Pára pra descansar. Tem gente má. Que pega a vassoura. Atrás da porta. E bate, bate. Pra lagartixa apanhar. Em vez disso. Por que não vai dar uma volta?. Lagartixa, se espicha. Vai pro lado do jardim. Senão.... A piaçaba te pega. E depois disso. Vai ser o teu fim.",Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
Nóis Não Usa Os Bleque Tais,O nosso amor é mais gostoso. Nossa saudade dura mais. O nosso abraço mais apertado. Nóis não usa as bleque tais. Minhas juras são mais juras. Meus carinho mais carinhoso. Suas mão são mãos mais puras. Seu jeito é mais jeitoso. Nóis se gosta muito mais. Nóis não usa as bleque tais. O nosso amor é mais gostoso. Nossa saudade dura mais. O nosso abraço mais apertado. Nóis não usa as bleque tais. Minhas juras são mais juras. Meus carinho mais carinhoso. Suas mão são mãos mais puras. Seu jeito é mais jeitoso. Nóis se gosta muito mais. Nóis não usa as bleque tais. Nóis não usa as bleque tais,Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
Roubaram a Lagosta,"Na praça júlio mesquita. Tem a estátua da lagosta. Quem passa de longe enxerga. Quem passa de perto gosta. E a lagosta de bronze. Fica esperando bom dia. Mas tem gente distraída. Que nem para ela espia.. Por uma razão muito forte. Ela em bronze foi lembrada. Inauguração na praça. Uma fita foi cortada,. Teve discurso, foguetes,. Teve churrasco e bebidas,. Teve mágicos e palhaços,. Futebol, flerte e corrida.. Mas isso ficou para trás. Não sei que forma que tinha. Essas coisas não se faz. Agulha não vai sem linha. Deixe a lagosta em paz. Muito bom ficar sozinha. Mas é melhor ficar seca ou molhada. Do que ser derretida ou roubada.",Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
No Morro da Casa Verde,"Silêncio, é madrugada.. No morro da casa verde. A raça dorme em paz. E lá embaixo. Meus colegas de maloca. Quando começa a sambá não pára mais. Silêncio!. Valdir, vai buscar o tambor. Laércio, traz o agogô. Que o samba na casa verde enfezou!. Silêncio!",Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
"Adeus, Escola","Enganado eu vou partir. Neste mundo jamais viverá. Adeus minha escola do samba. Eu vou para nunca mais voltar. Adeus companheiros do samba. Perdão, se algum dia te ofendi sem ter razão. Adeus escola. Adeus escola, eu levo você no coração. Enganado eu vou partir. Neste mundo jamais viverá. Adeus minha escola do samba. Eu vou para nunca mais voltar. O meu tamborim respeitado. Eu deixo para quem melhor que eu possa tocar. Adeus escola. Adeus escola, eu vou partir para nunca mais voltar",Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
Chega,"Agora eu vivo só e tão desolado. Por meu amor ter me abandonado. Sem ter razão feriu meu coração. Por isso eu sou julgado como um vagabundo. Não descanso um momento. Ninguém tem pena de mim neste mundo. Jamais na vida te darei perdão mulher fingida. Só porque você feriu meu coração. Eu jurei com tristeza. Ah, mas ninguém terá amizade. Não és mulher para me compreender. Você um dia vai se arrepender",Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
Ói Nóis Aqui Traveis,"Se voceis pensam que nóis fumos embora. Nóis enganemos voceis. Fingimos que fumos e vortemos. Ói nóis aqui traveis. Nóis tava indo. Tava quase lá. E arresorvemo. Vortemos prá cá. E agora, nóis vai ficar fregueis. Ói nóis aqui traveis",Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
