SName,Lyric,Artist,Songs,Popularity,Genre,Genres
Seu Melhor Amigo (com Fábio Jr.),"Olha, menina,. Mostra o seu pensamento. Dentro dessa cabeça eu sei. Que tem um universo. Sinta, menina,. Tudo que eu ofereço. Uma canção bonita. E o meu amor sincero. Não prometo e nem peço nada mais. Quero é ter você comigo. Seu sorriso nosso amor e nossa paz. Serei seu melhor amigo. Serei seu melhor amigo. Venha, menina,. Vamos viver um sonho. Eu quero o seu sorriso. Brilhando o tempo todo. Você é linda. Como uma flor do campo. Minha menina eu te amo. Não prometo e nem peço nada mais. Quero é ter você comigo. Seu sorriso, nosso amor e nossa paz. Serei seu melhor amigo. Serei seu melhor amigo",Elza Soares,148,1.5,Samba,Samba; MPB; Jazz; Bossa Nova; Soul Music; Black Music; Pop; Blues; Samba Enredo
Fofoca,"A nova paixão nacional. Não é mais a cerveja. Muito menos futebol. Se você quer fazer parte. Do esporte mais popular. É só fofocar. REFRÃO. Fofoca!. Eu tenho uma quentinha. Uma bombas pra contar. Fofoca!. Libera um trocado. Senão, não vou falar. Fofoca!. Atenção colunistas. Atenção jornalistas. Temos material pra esgotar as revistas. O final de semana rendeu. Vocês não vão acreditar. Eu vi a Luana Piovanni beijando um cara no bar. A linda Luma de Oliveira é fogo de não se apagar. A Deborah Secco não anda perdendo um show do Rappa. Ouvi um boato que a Sandy e o Junior vão se separar. A Xuxa levando a Sasha na escola para estudar. O Zezé di Camargo mandou um ator praquele lugar. OK,OK. REFRÃO. Atenção apresentadores. Olho na concorrência. Temos material para dar audiência. Quer saber um pouco da novela. E tudo que vai acontecer. é só ligar a televisão a tarde que você vai saber. No programa de hoje nós vamos dizer quem matou o Lineu. Coitadinha da Maria Clara a linda já disse.... Não fui eu. E não saia daí. Eu tenho que vender. Daqui a pouco voltamos com mais noticias da novela pra você. OK, OK. REFRÃO.. Acredite se quiser, tá sentado não levanta. Um famoso pagodeiro vai tocar na Casa Branca. Ronaldinho pegou Cicarelli, o cara parece que tem mel. A Hebe Camargo beijou a boca do cantor Daniel. Luciana Gimenez adora o rock do bocão. Adriane Galisteu é capa da proxima edição. O ministro ganhou um presente da filha e quando abriu. aa Quem é essa mulher pelada na capa do disco?. Sua filha ministro... Preta Gil. REFRÃO.. Fofoqueira, Foqueiro. Essa vai pra todos os fofoqueiros do Brasil. Fofoqueira, Foqueiro. Eu tenho uma quentinha e uma bomba pra conta. Fofoqueira, Foqueiro. Fofoca. Libeira um trocando se não eu não vou fala",Alexandre Pires,195,6.2,Samba,Samba; Romântico; Pagode; Axé; Dance; Sertanejo; Funk Carioca; Funk; Trilha Sonora; Electronica; Forró; Clássico
Pagodeiro,"Pagodeiro..... Chega de vergonha e mostra essa pegada. Mostra que é parceiro da rapaziada. E respeita o povo da sua quebrada. Pagodeiro.... Foge do assalto do risco de morte. Chega de jeitinho de abusar da sorte. E carrega no colo esse nosso povo. Pagodeiro. Chega de política deficitária. De ficar do lado de quem não trabalha. Chega de inconsequência. Lá... lalaiá laiá lalaiá. La laiá laiá lalaiá. La laia laiá lalaiá. Lá... lalaiá laiá lalaiá. La laiá laiá lalaiá. La laia laiá lalaiá. Sou pagodeiro. Sou mestiço brasileiro. Sou do mundo inteiro. Sou da favela, do castelo. Bate esse pandeiro. Pagodeiro!",Art Popular,184,3.2,Samba,Pagode; Samba; Romântico; Dance; Pop; Hip Hop; Power-Pop; Hard Rock; Bossa Nova; Rap; Trilha Sonora; Sertanejo
Som E Imagem,"Uma estrela pode não brilhar e o sol, não aparecer. O inverno pode não passar e o verão, desaparecer. O meu coração pode parar. Meu sorriso pode entristecer. A saudade pode machucar, mas não deixo de amar você. A saudade pode machucar, mas não deixo de amar você. Seu amor é assim ar que eu respiro. Água que eu bebo suor que eu transpiro. Só você faz explodir no meu peito essa louca paixão. Seu amor é assim, som e imagem. Sonho sem fim, uma tatuagem. Te amo com todas as forças do meu coração. Se a chuva nunca mais cair. E o vento nunca mais soprar. Se o azul do céu descolorir. Mesmo assim não deixo de te amar. Seu olhar me pregou um feitiço. Não consigo mais me libertar. Se você meu bem não existisse. Sei que eu iria te inventar. Se você meu bem não existisse. Sei que eu iria te inventar. Seu amor é assim ar que eu respiro. Água que eu bebo, suor que eu transpiro. Só você faz explodir no meu peito essa louca paixão. Seu amor é assim, som e imagem. Sonho sem fim, uma tatuagem. Te amo com todas as forças do meu coração. Te amo com todas as forças do meu coração. . lcaboy..",João Bosco,146,1.4,Samba,MPB; Samba; Romântico; Bossa Nova; Clássico; Sertanejo
Era Bom,Era bom. Aquele tempo em que eu vivia junto de você. Aquele tempo que se foi. Era bom. A minha mão na sua mão. O meu olhar dentro do seu. só hoje eu sei como era bom. Por isso escute bem. tudo que eu tenho a lhe dizer. nasceu da solidão. E veja bem como isso dói. Hoje eu sou. uma tristeza a caminhar. uma saudade a se lembrar. como era bom. É tarde não há mais eu e você,Elza Soares,148,1.5,Samba,Samba; MPB; Jazz; Bossa Nova; Soul Music; Black Music; Pop; Blues; Samba Enredo
Moça,"Moça,. Me espere amanhã. Levo o meu coração pronto pra te entregar.. Moça,. Eu te prometo,. Eu me viro do avesso só pra te abraçar.. Moça,. Sei que já não é pura,. Teu passado é tão forte, pode até machucar.. Moça,. Dobre as mangas do tempo,. Jogue o teu sentimento todo em minhas mãos.. Eu quero me enrolar nos teus cabelos. Abraçar teu corpo inteiro,. Morrer de amor,. De amor me perder,. De amor me perder com você.",Alexandre Pires,195,6.2,Samba,Samba; Romântico; Pagode; Axé; Dance; Sertanejo; Funk Carioca; Funk; Trilha Sonora; Electronica; Forró; Clássico
A Felicidade,Tristeza não tem fim. Felicidade sim. A felicidade é como a pluma. Que o vento vai levando pelo ar. Voa tão leve. Mas tem a vida breve. Precisa que haja vento sem parar,Clara Nunes,201,3.6,Samba,Samba; MPB; Velha Guarda; Samba Enredo; Romântico; Axé; Forró; Pagode; Bossa Nova; Hard Rock; Clássico; Jovem Guarda; Trilha Sonora; Regional; Chillout; Disco; Pop; Dance; Rap; Folk; Sertanejo; World Music; Surf Music; J-Pop/J-Rock; Black Music; Heavy Metal; Blues; Gospel/Religioso; Gótico
Você Perto de Mim,"Como fazer pra esquecer teu beijo. ah se eu soubesse.. Como fazer pra corrigir seus defeitos. se alguém me dissesse.. Como fazer pra esquecer. Um dia de sol um beijo na chuva. Pra onde eu vou. Eu penso que você vem,. e meu corpo também. Baby eu já não sei viver. Sozinho sem você. Falta alguma coisa aqui,. é você perto de mim. 2x. você perto de mim.. . Quero saber o que te faz a cabeça .... ah se eu soubesse.. Como aprender a te deixar sem defesa,. se alguém me dissesse.. Como fazer pra esquecer. Um dia de sol um beijo na chuva. Tudo de bom que eu quero você já tem,. e muito mais meu bem.. Baby eu já não sei viver. Sozinho sem você. Falta alguma coisa aqui,. é você perto de mim. 4x",Belo,236,14.7,Samba,Romântico; Pagode; Samba; Trilha Sonora; Axé; Funk Carioca; Black Music; Funk; Gospel/Religioso; Sertanejo; Psicodelia; Piano Rock; Soul Music; World Music; Disco; Country; Blues; Pop; Bossa Nova; Hip Hop
Só Uma Noite,"Sua amiga percebeu que eu to te olhando. Chamou de lado e disse: olha aquele cara ali. Abriu sorriso, percebi tava gostando. Mordeu os lábios disfarçando, mas já entendi. Eu entendi você também tava querendo. Mas e agora esse cara do seu lado. Só no olhar a gente tava se envolvendo. Passava o tempo e eu ficando alucinado. Dá um perdido, eu to lá fora te esperando. Manda ele embora, vem me dar essa moral. Sorriu pra mim, depois eu vi vocês brigando. Já que o cara foi embora, agora é fatal. Se você quer uma noite de prazer eu dou. Eu te pego do meu jeito e te faço delirar. Na minha cama eu te mato de fazer amor. Mas nem vem se apaixonar que eu não sou de namorar",Katinguelê,137,1.7,Samba,Samba; Pagode; Romântico; Instrumental; Chillout; MPB; Black Music
Qualquer Dia Desses,"QUALQUER DIA DESSES. QUE EU ME SURPREENDA DE NOVO SEM SONO. EU PERCO O JUÍZO E TE TELEFONO. E SE FOR PRECISO ATÉ VOU AÍ. QUALQUER DIA DESSES. NÃO VOU MAIS FICAR NESSA CAMA DE BRUÇOS. CHORANDO SOZINHA, ABAFANDO SOLUÇOS. LEMBRANDO AS COISAS QUE NUNCA ESQUECI. QUALQUER DIA DESSES. ESQUEÇO OS CONSELHOS E JOGO PESADO. QUERENDO TEU CORPO DE NOVO AO MEU LADO. AS LEIS DO BOM SENSO VOU DESAFIAR. DE NADA ADIANTA TANTO SOFRIMENTO. SE A PURA VERDADE. É QUE NESSE MOMENTO EU MORRO DE SAUDADE. COM TUDO QUE O ORGULHO NÃO PODE APAGAR. SE UM DIA EU SAIR. E QUISER TE ENCONTRAR. NÃO RECUSES, POR FAVOR. PODE SER QUE DAS CINZAS. RENASÇA DE NOVO O FOGO DO NOSSO AMOR",Alcione,374,5.1,Samba,Samba; Romântico; MPB; Pagode; Axé; Bossa Nova; Forró; Velha Guarda; Samba Enredo; Disco; Pop; Piano Rock; Trilha Sonora; Heavy Metal; Electronica; Black Music; Sertanejo; Jovem Guarda; Gospel/Religioso; Blues; Infantil; Hip Hop
