SName,Lyric,Artist,Songs,Popularity,Genre,Genres
Tempo Perdido,Não valeu de nada. Foi tempo perdido. Outra madrugada. Sem falar contigo. Tá doendo tanto. Parece castigo. Não valeu de nada. Meu pranto rolar. Na realidade. Estou dividido. Não tenho coragem. De parar contigo. Tentei ser amante. Tentei ser amigo. Fiz de tudo pra continuar. Mas o nosso mundo. Ficou na saudade. Não existe mais felicidade. Sei que lá no fundo. Eu tenho vontade. De ver o nosso amor voltar,Péricles,102,6.8,Samba,Romântico; Pagode; Samba; Sertanejo; Samba Enredo; Funk Carioca; Electronica; Forró; MPB; Pop; Rock; Pop/Rock; Black Music; Funk; Axé
Babando Colorido,"O sentimento que sinto agora explodi o coração. Me arrebenta o peito essa paixão. E não consigo me controlar. Já não me importo se de é cedo ou de madrugada. a qualquer momento eu encho a cara, por esse amor. começo a chamar. Fico violento, fico bom de briga, fico bom de braço. Se está sol, chover eu faço. Por esse amor saio até de mim. Ligo o som alto, canto pneu pra você me olhar. Sua atenção tenho que chamar, pois só assim me sinto feliz. *Mas tudo isso é vontade de te ver,. quero você e você nem quer me olhar. Grito pro mundo que sou louco por você e. O que lhe ofereço ninguém irá te dar. (Refrão). *Por esse amor o que for preciso juro que faço,. conto as estrelas, fico de quatro,. bebo cachaça e arrasto um caminhão. Desorientado eu vivo em busca do seu sorriso. Sempre babando colorido na dependência dessa paixão",Guilherme e Santiago,237,3,Sertanejo,Sertanejo; Romântico; Pop/Rock; Pop
Lucinha,"Lucinha é a garota que eu sonhei. É tudo quanto eu imaginei. Fico esperando que ela volte para mim. Vou tomar coragem e lhe dizer assim , assim:. Oh , oh Lucinha ,. Eu quero o seu amor. Eu quero o seu carinho. Seja como for. Oh, oh Lucinha. Preciso de você. Lucinha não me faça mais sofrer",Erasmo Carlos,225,2.3,Rock,Rock; Jovem Guarda; Romântico; MPB; Soul Music; Psicodelia; Samba; Dance; Classic Rock; Fado; Forró; Funk; Axé; Bossa Nova
Me Entreguei Demais,"Foi tudo tão depressa, tudo tão intenso,. Ás vezes até penso: Me entreguei demais. Eu não soube esperar o momento certo pra falar. Tudo que eu sentia por você. Mesmo sendo um pouco tempo tive que dizer. Mas no teu olhar eu percebi, te assustei. Quando disse que te amava. Me olhou nos olhos e me disse assim. Tudo isso é muito novo para mim. Eu não quero te fazer sofrer,. Só não estou afim de me envolver. Eu disse coisas que não era pra dizer. E pude perceber que se arrependeu. Te culpei por não me amar como eu te amei. Mas me precipitei e quem errou fui eu. Inseguro, imaturo, aprendi uma lição. Quando a gente se entrega por inteiro. Quem sofre é o coração",Rodriguinho,106,2.7,Samba,Romântico; Pagode; Samba; Country; Hardcore; Tecnopop; Axé; Funk Carioca; Black Music
Coraçãozinho,"Vidinha, a gente combinou de verdade. Tá ligada que o amor da gente. Tá causando inveja na cidade. É que a gente é igual pipoca e cinema. Pra mim cê é mais top que a garota de Ipanema. Meu ponto de partida, minha linha de chegada. No meu quebra-cabeça era a peça que faltava. É que não tem eu sem você. E não tem você sem mim. Junta sua mão na minha e faz um coraçãozinho",Mc Gui,27,1.1,Pop,Funk Carioca; Funk; Pop; Axé; Electronica; Black Music; Forró; Sertanejo; House; Blues; Clássico; Dance; Rap; Folk; Gótico; World Music; Romântico; Reggae; Electro Swing; Gospel/Religioso; Hard Rock; Bossa Nova; Country; Emocore; Heavy Metal; Classic Rock; Samba; Fado; Indie; Trilha Sonora; Chillout; Piano Rock; Pop/Punk; R&B; Infantil; Surf Music; Power-Pop; Rock; Hip Hop
Alma,"Alma! Alma! Alma!. Alma!. Deixa eu ver sua alma. A epiderme da alma. Superfície!. Alma!. Deixa eu tocar sua alma. Com a superfície da palma. Da minha mão. Superfície!.... Easy! Fique bem easy. Fique sem, nem razão. Da superfície!. Livre! Fique sim, livre. Fique bem, com razão ou não. Aterrize!.... Alma!. Isso do medo se acalma. Isso de sede se aplaca. Todo pesar não existe. Alma!. Como um reflexo na água. Sobre a última camada. Que fica na. Superfície!.... Crise!. Já acabou, livre. Já passou o meu temor. Do seu medo sem motivo. Riso, de manhã, riso. De neném a água já molhou. A superfície!.... Alma!. Daqui do lado de fora. Nenhuma forma de trauma. Sobrevive!. Abra a sua válvula agora. A sua cápsula alma. Flutua na. Superfície!.... Lisa, que me alisa. Seu suor, o sal que sai do sol. Da superfície!. Simples, devagar, simples. Bem de leve. A alma já pousou. Na superfície!.... Alma!. Daqui do lado de fora. Nenhuma forma de trauma. Sobrevive!. Abra a sua válvula agora. A sua cápsula alma. Flutua na. Superfície!.... Lisa, que me alisa. Seu suor, o sal que sai do sol. Da superfície!. Simples, devagar, simples. Bem de leve. A alma já pousou. Na superfície!.... Alma!. Deixa eu ver sua alma. A epiderme da alma. Superfície!. Alma!. Deixa eu tocar sua alma. Com a superfície da palma. Da minha mão. Superfície!.... Alma!. Deixa eu ver!. Deixa eu tocar!. Alma! Alma!. Deixa eu ver!. Deixa eu tocar!. Alma! Alma!. Superfície. Alma! Alma!. Alma!",Zélia Duncan,207,1.7,Pop,MPB; Pop; Romântico; Pop/Rock; Blues; Black Music; Folk; Bossa Nova; Chillout; Indie; Piano Rock; Post-Rock; R&B; Samba; Axé
Passa Esse Modão,"Pode me esperar, to pronto pra sair. A noite vai bombar aí na terra do pequi. Se for de Ribeirão, Campo Grande ou Gurupi. Se for de BH, Itumbiara, Jataí. Já liguei pra galera de Goiânia me esperar. Pra por carne na brasa e a cerveja pra gelar. Não vou de avião por que eu gosto é de estrada. Goiás é um coração que porta dorme destrancada. Passa, passa esse modão pra frente. Deus fez o Goiás pra gente e nada vai mudar, mudar, mudar. Passa, passa esse modão pra frente. Deus fez o Goiás pra gente. Aqui é o meu lugar",Jorge e Mateus,238,34.7,Sertanejo,Romântico; Sertanejo; House; Axé; Country; Gospel/Religioso; Pop; Funk; Funk Carioca; Pagode; Forró; Black Music; Electronica; Dance; Electro Swing; Reggae; Samba; R&B; MPB; Rap; Blues; Bossa Nova; Pop/Rock; Classic Rock; Rock; Surf Music; Trilha Sonora; Velha Guarda; Folk; Clássico; Hip Hop; Gótico; Metal; Rock Alternativo; World Music; Soul Music; Reggaeton; Samba Enredo; Hard Rock; Disco; Indie; Rockabilly; Piano Rock; Trance; Fado; Pós-Punk; Trip-Hop; Grunge; Soft Rock; Regional; Instrumental; Pop/Punk; Tecnopop; J-Pop/J-Rock; Emocore
Te Quero Pra Mim,Chego em casa já é de manhã. Depois de uma noite de amor. Do pensamento não sai. Se eu pudesse voltar atrás. Pra sentir o seu calor. Pra te abraçar. Pra te beijar. Pra saciar. Essa louca paixão. Te quero pra mim. Viajar no seu prazer. No seu mar azul. Então acender ainda mais esse tesão. Eu nem quero dormir. Te quero pra mim. Na minha camisa o seu batom. O cheiro do suor do nosso amor. Mas o que eu vou fazer. Pra esquecer você. Sei que não vou mais te ter,Hugo Pena e Gabriel,115,1.7,Sertanejo,Romântico; Sertanejo; Country; Trilha Sonora; Funk Carioca; House; Pop; Rap; Black Music; Axé; Samba; Pagode
Ajoelha E Chora,"Tava cansado de me fazer de bonzinho. Te chamando de benzinho,. De amor e de patroa. Essa malvada me usava e me esnobava. E judiava muito da minha pessoa. Endureci, resolvi bancar o machão. Daí ficou bem bom. E agora é do meu jeito. De hoje em diante. Sempre que eu te chamar. Acho bom tu ajoelhar. E me tratar com respeito.. refrão 2x. Ajoelha e chora. Ajoelha e chora. Quanto mais eu passo o laço. Muito mais ela me adora. Mas o efeito do remédio que eu dei. Foi melhor do que pensei. Ela faz o que eu quiser.. Lava roupa, lava prato,. Cuida dos filhos. Anda nos trilhos. Tomou jeito essa muié. Faz cafuné,. Me abraça com carinho. Me chama de docinho. Comecei a me preocupar. E tô achando que essa mulher danada. Ficou mal acostumada. E tá gostando de apanhar",Grupo Tradição,185,1.4,Sertanejo,Sertanejo; Forró; Romântico; Axé; Country; Pagode; House; Regional; Funk Carioca; Pop; Músicas Gaúchas; Folk; MPB
Não Quero Piedade,"Por favor não venha com mentiras pelo amor de Deus. As mentiras e falsas promessas me fazem chorar. Se você não me quer eu aceito a realidade. Prefiro ouvir uma triste verdade. Do que mil mentiras para me agradar. Você nunca fez um sacrifício pelo nosso amor. Não reclamo mas me deixa triste seu modo de agir. Só espero que os seus carinhos não sejam forçados. Se for necessário morro apaixonado. Mas o nosso caso para por aqui. Não, não quero piedade, amor pela metade. É pouco pra nos dois. Não, não repare meu jeito desculpe querida. Mas eu não aceito ser feliz agora e sofrer depois",Zezé Di Camargo e Luciano,444,36.7,Sertanejo,Sertanejo; Romântico; Country; Forró; Axé; Dance; Regional; Folk; Gospel/Religioso; Samba; Pop; Clássico; Gótico; Velha Guarda; Disco; MPB; Rock; Classic Rock; Trilha Sonora; Soft Rock; Reggae; Bossa Nova; Funk Carioca; Pop/Rock; Instrumental; New Age; Black Music; Funk
